행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
1122063,14935960.0317,449557.3527,236474.7084,383604.1795,497387.5144,601155.262,573402.3331,672728.9979,581271.1981,625564.3855,465074.4274,509269.7,430227.9951,334919.831,642003.5105,463594.7374,259613.67,373147.6833,544290.6941,662534.0941,638672.8198,628199.192,546384.1705,618287.2745,543753.2375,646509.2897,519741.8412,444713.9018,1043876.1028
1122064,13671059.4372,366365.9091,223502.8877,447678.3436,408954.6938,426947.1716,451541.7266,526410.0148,520952.4819,585203.4871,560977.4632,511132.8804,403771.1206,332849.6907,615014.6183,522131.9003,290989.8982,523876.483,420691.6897,422245.6386,460440.0519,600282.4474,556556.0523,585183.9324,537622.279,575381.6428,499306.4903,427640.2054,867408.1839
1122065,19291529.1164,690011.7634,453937.1759,590534.1353,446165.1919,608089.2601,604218.4656,685836.4181,777924.3554,841473.7852,755723.8994,591493.7024,482067.1076,355597.2707,798842.5897,648793.7159,452054.9052,637991.8971000001,621111.7898,719226.9569,747238.0342,894188.0361,939036.2417,955273.6155,794308.2448,770935.4343,634956.1163,509865.4689,1284633.5541
1122066,37850992.3146,2121171.4057,753698.5009,749719.1353,773381.6236,1360982.3735,1578161.1599,1996438.7622,1957559.4498,2049470.1388,1445481.662,1206709.5887,1010135.7204,703466.9024,1245611.6069,1861345.0981,729372.9162,701616.5434,950510.5655,1467580.0367,1493660.1212,1752851.3419,1735037.7273,1582276.2355,1179215.149,1225408.3789,1185753.6574,961857.8593,2072518.7234
1122067,27817839.5464,754864.48,316099.4611,390465.2985,572209.9232,1240845.4824,1513526.1948,1865068.5301,1647310.771,1755340.6258,1269129.1467,1148619.4251,835532.2455,549697.5244,797362.0102,821033.0324,358071.5654,472456.624,708653.1111,1218003.0853,1286830.3203,1416455.4473,1177243.8017,1111643.6755,956231.6778,1015189.4968,824456.5186,645082.9671,1150417.0587
1122068,18070178.1686,1442114.5507,315670.3089,279681.2237,705250.7058,485393.6568,525214.1593,711603.0066,885716.5721,872149.2141,668493.4769,743221.3231,571874.9912,393707.9156,709409.9614,1204847.0145,278545.1455,240002.649,301765.3724,460660.5086,580742.9479,845511.1625,819539.9435,638697.5737,559321.9728,636696.4943,588795.673,491578.8362,1113971.8199
1123051,25725968.5909,504048.0262,366655.0533,609485.576,692049.1822,1116898.5142,1126405.5123,1380022.361,1297696.0067,1287886.2931,967097.278,814068.6039,540580.2418,409126.7107,841988.097,476865.3222,332560.6225,724143.715,1355605.7258,1663653.608,1412040.7522,1462344.941,1151950.344,1158002.4848,841677.1449,746154.8862,648558.5983,519666.6347,1278736.3763
1123052,30498963.2306,381540.0716,155501.515,375765.3716,1018745.103,1844023.7417,1990019.4186,2180330.3532,1760345.4419,1603835.0722,1074930.8826,834896.9069000001,598059.7735,426818.4882,756012.3059,316593.6614,144029.9472,485052.5424,1722394.2633,2377287.7997,2140744.0956,1872842.2437,1349338.0023,1096165.8872,859333.5121,816664.8745,629871.9022,578008.2622,1109811.8409
1123053,30130484.0699,719273.5559,268109.545,430623.1597,746059.8522,1560275.7603,1816089.914,2150745.0682,1943821.322,1712875.7798,1149576.0241,875128.2562,591511.9886,402800.1974,847717.608,538214.4141,224063.6894,401027.9669,1342359.8428,2133851.1974,2003585.2264,1786272.4072,1433064.2039,1159034.1628,805881.8635,750399.9633,613349.0904,538259.8544,1186512.2037
1123077,29898389.1106,972393.1205,547608.0669,572452.1992,713696.5125,1100777.274,1123102.7889,1426804.7645,1451491.9686,1381567.657,1147845.8706,924907.6836,674174.199,486926.8843,1026352.5523,1025291.3536,562203.9582,782760.5958,1380824.8544,1722061.264,1514758.4878,1587385.7862,1437907.7065,1359605.3024,945228.7859,906423.0013,744011.8875,651750.109,1728074.5133
1123078,32613501.9703,898826.8951,429269.9569,663368.9479,774301.4938,1210476.4383,1383273.6728,1835286.7635,1698394.7653,1556276.9785,1205762.8021,1042199.7226,777310.9705,603917.1766,989818.4364,758450.0373,363066.7364,555494.6936,1421576.0317,1932319.4712,1803295.5659,2074474.342,1594652.5875,1495785.9356,1188597.7672,1129428.5641,980127.0048,727607.3906,1520140.788
1123058,26627323.0849,389453.962,229172.794,492922.0065,651880.0422,1257909.8526,1572099.4565,1961453.1775,1717374.7982,1700714.1469,1118628.4216,881124.0218,585761.9557,401185.9814,587332.5967,532009.2137,259720.6557,488429.3651,1053426.5789,1659485.6981,1609789.1097,1572026.8127,1245708.6339,1151602.6196,810354.6223,736863.1891,662790.2486,445676.3898,852426.7186
1123059,27564716.1089,975608.3106,651347.8153,715709.2694,653809.4778,1061081.7118,1283461.9701,1512380.1492,1550589.1316,1656994.6341,1146623.6514,801204.2755,523312.3218,355780.3434,746306.9940000001,722180.0123,444287.2447,566040.4639,899026.353,1453492.9676,1415286.4929,1465471.8252,1464323.4427,1464862.9691,950325.7311,774598.6918,579491.4192,521261.0943,1209857.2842
